sample_index	prediction
1	1
2	1
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	0
30	0
31	1
32	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	0
46	1
47	0
48	0
49	0
50	0
51	0
53	0
54	0
55	0
56	0
57	0
58	1
59	1
60	0
61	0
62	0
63	0
64	1
65	0
66	0
67	0
68	0
69	1
70	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	1
87	0
88	0
89	0
90	0
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	1
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	1
117	1
118	0
119	1
120	1
121	0
122	0
123	0
124	0
125	1
126	0
127	0
128	0
129	0
130	1
131	1
132	0
133	0
134	0
136	1
137	0
138	1
139	0
141	0
142	1
143	1
144	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	1
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	1
186	0
187	1
188	0
189	0
190	0
191	0
192	0
194	0
195	0
196	0
197	0
198	0
199	0
200	1
201	0
202	0
203	0
204	0
205	0
206	0
207	1
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	1
219	0
220	0
221	1
222	0
223	1
224	0
225	0
226	0
227	0
228	0
229	1
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	1
262	0
263	0
264	0
265	0
266	1
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	1
276	0
277	0
278	1
279	0
280	1
281	1
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	1
294	0
295	1
296	0
297	0
298	0
299	1
301	0
302	0
303	0
304	1
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	1
318	0
319	0
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	1
334	1
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	1
347	1
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	1
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	1
381	1
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	1
408	0
409	0
410	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	0
436	1
437	0
438	1
439	0
440	1
441	0
442	0
444	0
445	0
446	1
447	0
448	0
449	1
450	0
451	0
452	0
453	1
454	0
455	1
456	0
457	0
458	0
459	0
460	0
461	1
462	1
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	0
480	0
481	1
482	0
483	0
484	0
485	1
486	0
488	0
489	0
490	0
491	0
492	1
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	1
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	1
516	1
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	1
525	0
526	0
527	0
528	1
529	0
530	0
531	0
532	0
533	1
534	0
535	0
536	0
537	0
538	0
539	1
540	0
541	0
542	0
543	0
544	0
545	1
546	0
547	1
548	0
549	0
550	1
551	1
553	1
554	0
555	0
556	0
557	0
558	1
559	0
560	1
561	0
562	1
563	1
564	0
565	1
566	0
567	0
568	0
569	1
570	0
571	0
572	1
573	0
574	0
575	0
576	1
577	0
578	0
579	0
580	1
581	0
582	0
583	1
584	0
585	1
586	1
587	0
588	0
589	1
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	1
605	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
